#NN	NWords	Freq,hz	lphs,ms	rphs,ms
0	32	1	0	0
1	1	1	0	0
2	20	1	0	0
3	20	1	0	0
4	32	1	0	0
5	22	1	0	0
6	13	1	0	0
7	30	1	0	0
8	31	1	0	0
9	32	1	0	0
10	1	1	0	0
11	13	1	0	0
12	12	1	0	0
13	12	1	0	0
14	19	1	0	0
15	29	1	0	0
16	5	1	0	0
17	32	1	0	0
18	18	1	0	0
19	22	1	0	0
20	27	1	0	0
21	32	1	0	0
22	26	1	0	0
23	32	1	0	0
24	32	1	0	0
25	32	1	0	0
26	32	1	0	0
27	32	1	0	0
28	17	1	0	0
29	20	1	0	0
30	30	1	0	0
31	26	1	0	0
32	14	1	0	0
33	27	1	0	0
34	16	1	0	0
35	30	1	0	0
36	32	1	0	0
37	26	1	0	0
38	19	1	0	0
39	31	1	0	0
40	2	1	0	0
41	28	1	0	0
42	32	1	0	0
43	8	1	0	0
44	25	1	0	0
45	20	1	0	0
46	21	1	0	0
47	28	1	0	0
48	26	1	0	0
49	13	1	0	0
50	4	1	0	0
51	32	1	0	0
52	24	1	0	0
53	32	1	0	0
54	32	1	0	0
55	31	1	0	0
56	13	1	0	0
57	19	1	0	0
58	22	1	0	0
59	21	1	0	0
60	4	1	0	0
61	32	1	0	0
62	21	1	0	0
63	29	1	0	0
64	32	1	0	0
65	24	1	0	0
66	30	1	0	0
67	32	1	0	0
68	27	1	0	0
69	32	1	0	0
70	5	1	0	0
71	30	1	0	0
72	26	1	0	0
73	27	1	0	0
74	10	1	0	0
75	21	1	0	0
76	13	1	0	0
77	20	1	0	0
78	25	1	0	0
79	18	1	0	0
80	32	1	0	0
81	32	1	0	0
82	20	1	0	0
83	19	1	0	0
84	32	1	0	0
85	20	1	0	0
86	32	1	0	0
87	26	1	0	0
88	30	1	0	0
89	2	1	0	0
90	32	1	0	0
91	32	1	0	0
92	31	1	0	0
93	21	1	0	0
94	10	1	0	0
95	2	1	0	0
96	32	1	0	0
97	21	1	0	0
98	17	1	0	0
99	15	1	0	0
100	24	1	0	0
101	17	1	0	0
102	21	1	0	0
103	16	1	0	0
104	18	1	0	0
105	32	1	0	0
106	28	1	0	0
107	4	1	0	0
108	23	1	0	0
109	32	1	0	0
110	25	1	0	0
111	24	1	0	0
112	32	1	0	0
113	18	1	0	0
