#NN	NWords	Freq,hz	lphs,ms	rphs,ms
0	20	1	0	0
1	3	1	0	0
2	9	1	0	0
3	11	1	0	0
4	24	1	0	0
5	24	1	0	0
6	30	1	0	0
7	10	1	0	0
8	30	1	0	0
9	23	1	0	0
10	28	1	0	0
11	19	1	0	0
12	32	1	0	0
13	27	1	0	0
14	32	1	0	0
15	2	1	0	0
16	32	1	0	0
17	22	1	0	0
18	10	1	0	0
19	12	1	0	0
20	16	1	0	0
21	32	1	0	0
22	32	1	0	0
23	10	1	0	0
24	32	1	0	0
25	10	1	0	0
26	32	1	0	0
27	31	1	0	0
28	22	1	0	0
29	32	1	0	0
30	24	1	0	0
31	1	1	0	0
32	21	1	0	0
33	32	1	0	0
34	15	1	0	0
35	11	1	0	0
36	32	1	0	0
37	31	1	0	0
38	3	1	0	0
39	16	1	0	0
40	19	1	0	0
41	24	1	0	0
42	32	1	0	0
43	2	1	0	0
44	8	1	0	0
45	20	1	0	0
46	32	1	0	0
47	17	1	0	0
48	32	1	0	0
49	23	1	0	0
50	21	1	0	0
51	32	1	0	0
52	21	1	0	0
53	32	1	125	135
54	32	1	125	135
55	32	1	125	135
56	31	1	125	135
57	32	1	125	135
58	30	1	125	135
59	26	1	125	135
60	32	1	125	135
61	26	1	125	135
62	32	1	145	155
63	32	1	145	155
64	32	1	145	155
65	30	1	145	155
66	30	1	225	235
67	31	1	225	235
68	32	1	245	255
69	31	1	245	255
70	28	1	245	255
71	27	1	245	255
72	32	1	245	255
73	30	1	245	255
74	30	1	325	335
75	32	1	325	335
76	32	1	325	335
77	32	1	325	335
78	27	1	325	335
79	32	1	325	335
80	32	1	325	335
81	32	1	325	335
82	30	1	345	355
83	32	1	345	355
84	31	1	345	355
85	25	1	345	355
86	30	1	345	355
87	30	1	345	355
88	26	1	345	355
89	32	1	425	435
90	31	1	425	435
91	32	1	425	435
92	32	1	425	435
93	32	1	445	455
94	28	1	445	455
95	32	1	445	455
96	28	1	445	455
97	26	1	445	455
98	28	1	725	735
99	31	1	725	735
100	31	1	725	735
101	25	1	725	735
102	29	1	725	735
103	32	1	725	735
104	27	1	725	735
105	32	1	745	755
106	24	1	745	755
107	23	1	745	755
108	25	1	825	835
109	23	1	825	835
110	30	1	825	835
111	24	1	825	835
112	23	1	825	835
113	21	1	825	835
114	25	1	845	855
115	3	2	0	0
116	2	2	0	0
117	29	5	0	0
118	32	5	0	0
119	32	5	0	0
120	32	5	0	0
121	29	5	0	0
122	29	5	0	0
123	27	5	0	0
124	32	5	0	0
125	32	5	0	0
126	30	5	0	0
127	32	5	0	0
128	32	5	0	0
129	29	5	0	0
130	32	5	0	0
131	32	5	0	0
132	28	5	0	0
133	32	5	0	0
134	32	5	0	0
135	32	5	0	0
136	29	5	0	0
137	32	5	0	0
138	32	5	0	0
139	32	5	0	0
140	32	5	0	0
141	32	5	0	0
142	32	5	0	0
143	32	5	0	0
144	27	5	0	0
145	30	5	0	0
146	30	5	0	0
147	26	5	0	0
148	32	5	0	0
149	32	5	0	0
150	30	5	0	0
151	32	5	0	0
152	32	5	0	0
153	32	5	0	0
154	32	5	0	0
155	29	5	0	0
156	4	10	0	0
157	11	10	0	0
158	32	10	0	0
159	22	10	0	0
160	8	10	0	0
161	11	10	0	0
162	4	10	0	0
163	20	10	0	50
164	11	10	0	50
165	15	10	0	50
166	18	10	0	50
167	15	10	0	50
168	9	10	0	50
169	21	10	0	50
170	11	10	0	50
171	21	10	0	50
172	22	10	25	35
173	16	10	25	35
174	30	10	25	35
175	13	10	45	55
176	15	10	45	55
177	21	10	45	55
# There must be NO newline at the end of this file
