#NN	NWords	Freq,hz	lphs,ms	rphs,ms
0	32	1	0	100
1	32	1	0	100
2	32	1	0	100
3	32	1	0	100
4	32	1	0	100
5	32	1	0	100
6	32	1	0	100
7	29	1	0	100
8	28	1	0	100
9	30	1	0	100
10	32	1	0	100
11	29	1	0	100
12	32	1	0	100
13	28	1	0	100
14	32	1	0	100
15	32	1	100	200
16	26	1	100	200
17	32	1	100	200
18	27	1	100	200
19	31	1	140	160
20	32	1	140	160
21	31	1	140	160
22	26	1	140	160
23	25	1	140	160
24	29	1	140	160
25	25	1	140	160
26	28	1	140	160
27	32	1	140	160
28	29	1	140	160
29	26	1	140	160
30	30	1	140	160
31	26	1	200	300
32	32	1	200	300
33	32	1	200	300
34	27	1	200	300
35	32	1	240	260
36	26	1	240	260
37	26	1	240	260
38	32	1	240	260
39	26	1	340	360
40	29	1	340	360
41	32	1	340	360
42	32	1	340	360
43	26	1	340	360
44	29	1	340	360
45	32	1	340	360
46	29	1	340	360
47	32	1	340	360
48	32	1	340	360
49	12	1	400	500
50	32	1	440	460
51	28	1	440	460
52	32	1	440	460
53	32	1	440	460
54	32	1	440	460
55	29	1	440	460
56	32	1	440	460
57	32	1	440	460
58	25	1	440	460
59	24	1	440	460
60	29	1	440	460
61	32	1	440	460
62	28	1	440	460
63	32	1	500	600
64	32	1	500	600
65	32	1	500	600
66	27	1	500	600
67	20	1	500	600
68	30	1	500	600
69	13	1	600	700
70	14	1	600	700
71	31	1	600	700
72	14	1	600	700
73	26	1	600	700
74	26	1	600	700
75	12	1	600	700
76	31	1	600	700
77	13	1	600	700
78	28	1	600	700
79	12	1	600	700
80	32	1	600	700
81	32	1	600	700
82	32	1	600	700
83	30	1	600	700
84	31	1	600	700
85	32	1	600	700
86	29	1	600	700
87	32	1	600	700
88	27	1	600	700
89	31	1	600	700
90	14	1	600	700
91	28	1	600	700
92	14	1	600	700
93	14	1	600	700
94	30	1	600	700
95	31	1	600	700
96	32	1	600	700
97	12	1	600	700
98	14	1	600	700
99	29	1	700	800
100	28	1	700	800
101	28	1	700	800
102	24	1	700	800
103	32	1	700	800
104	32	1	700	800
105	27	1	700	800
106	29	1	700	800
107	29	1	700	800
108	25	1	700	800
109	32	1	700	800
110	32	1	700	800
111	32	1	700	800
112	28	1	700	800
113	29	1	840	860
114	24	1	840	860
115	25	1	840	860
116	25	1	840	860
117	31	1	840	860
118	31	1	840	860
119	32	1	840	860
120	24	1	840	860
121	25	1	840	860
122	32	1	840	860
123	28	1	840	860
124	29	1	840	860
125	29	1	840	860
126	29	1	940	960
127	30	1	940	960
128	2	2	300	400
129	2	2	300	400
130	3	2	300	400
131	3	2	300	400
132	1	2	400	500
133	2	2	400	500
134	2	2	400	500
135	2	2	400	500
136	32	5	0	100
137	32	5	0	100
138	31	5	0	100
139	32	5	0	100
140	28	5	0	100
141	32	5	0	100
142	26	5	0	100
143	28	5	0	100
144	27	5	0	100
145	30	5	100	200
146	32	5	100	200
147	27	5	100	200
148	26	5	100	200
149	32	5	100	200
150	28	5	100	200
151	32	5	100	200
152	32	5	100	200
153	32	5	100	200
154	3	10	0	0
155	13	10	0	0
156	15	10	0	0
157	12	10	0	0
158	12	10	0	0
159	4	10	0	0
160	9	10	0	0
161	15	10	0	0
162	9	10	0	0
163	4	10	0	0
164	11	10	0	0
165	10	10	0	0
166	13	10	0	0
167	8	10	0	0
168	10	10	0	0
169	4	10	0	0
170	6	10	0	0
171	10	10	0	0
172	7	10	0	0
173	12	10	0	0
174	14	10	0	0
175	12	10	0	0
176	4	10	0	0
177	5	10	0	0
178	10	10	0	0
179	12	10	0	0
180	12	10	0	0
181	5	10	0	0
182	11	10	0	0
183	13	10	0	0
184	11	10	0	0
185	3	10	0	0
186	14	10	0	0
187	12	10	0	0
188	4	10	0	0
189	5	10	0	0
190	13	10	0	0
191	4	10	0	0
192	23	10	40	60
193	22	10	40	60
194	27	10	40	60
# There must be NO newline at the end of this file
